# Monthly Runoff (AHPS Computed)
# units: mm over lake
# Original data source://lre-netapp1/LRE1-Public/Public/Share/H&H/WHS/FORECAST/AHPS
# Last modified 2019-09-03 12:47:17 by DA9
#
"year","month","SUP","MIC","HUR","GEO","MIH","STC","ERI","ONT"
"1974","08","43.78","37.19","11.06","55.2","31.07","49.67","19.08","48.34"
"1974","09","44.4","34.36","12.06","73.75","33.02","65.28","25.29","64.82"
"1974","10","48.47","37.39","22.63","145.77","49.83","90.82","18.37","72.87"
"1974","11","58","49.52","29.22","191.05","65.40","512.27","111.88","158.56"
"1974","12","42.06","47.91","25.73","161.72","58.66","489.56","114.98","214.22"
"1975","01","33.46","56.6","50.35","162.15","71.52","705.26","126.67","176.14"
"1975","02","26.27","46.69","41.03","125.93","57.56","632.89","121.66","161.12"
"1975","03","34.86","66.3","57.44","161.29","78.61","847.16","118.8","254.14"
"1975","04","77.55","93.59","73.85","278.16","116.63","740.73","85.64","253.4"
"1975","05","124.61","88.53","40.9","325.17","110.36","214.27","44.85","164.79"
"1975","06","67.38","58.21","25.73","127.22","58.15","242.65","47.23","92.65"
"1975","07","39.09","33.96","16.04","58.22","31.69","78.05","17.65","45.04"
"1975","08","29.86","37.6","27.35","42.26","34.81","282.39","36.98","43.94"
"1975","09","41.43","67.92","34.19","97.03","60.97","245.49","53.2","136.22"
"1975","10","40.18","33.96","12.56","96.6","36.70","76.63","35.07","165.52"
